season,episode,imdb_rating,vote_count
1,1,8.1,8324
1,2,8.2,6726
1,3,7.6,6055
1,4,8.0,6103
1,5,7.8,5803
1,6,8.3,6024
1,7,8.0,5708
1,8,8.1,5721
1,9,7.9,5529
1,10,8.0,5660
1,11,8.2,5629
1,12,7.8,5353
1,13,8.2,5516
1,14,8.0,5406
1,15,8.2,5653
1,16,8.3,5317
1,17,8.5,5564
2,1,8.2,5412
2,2,8.0,5023
2,3,8.7,5851
2,4,7.8,5071
2,5,8.3,5198
2,6,8.1,5208
2,7,8.6,5508
2,8,8.0,4978
2,9,8.0,4926
2,10,7.6,4826
2,11,9.1,8009
2,12,7.8,4867
2,13,7.9,4833
2,14,7.9,4796
2,15,8.8,5752
2,16,8.1,4807
2,17,8.0,5164
2,18,8.1,4833
2,19,8.1,4876
2,20,7.8,4675
2,21,8.4,5034
2,22,8.1,4633
2,23,8.2,4777
3,1,8.2,5079
3,2,7.7,4663
3,3,8.1,4785
3,4,8.0,4677
3,5,8.3,4792
3,6,7.4,4515
3,7,7.7,4541
3,8,8.9,6370
3,9,8.3,4744
3,10,8.4,4812
3,11,8.3,4722
3,12,8.2,4632
3,13,8.0,4534
3,14,8.4,4915
3,15,8.0,4454
3,16,8.2,4569
3,17,8.4,4815
3,18,8.3,4733
3,19,7.8,4438
3,20,8.1,4445
3,21,8.1,4741
3,22,9.0,6120
3,23,8.6,4843
4,1,8.7,5347
4,2,8.3,4806
4,3,7.9,4564
4,4,8.0,4527
4,5,7.6,4367
4,6,8.0,4445
4,7,8.0,4462
4,8,8.1,4476
4,9,8.4,4676
4,10,7.6,4334
4,11,8.6,4965
4,12,7.5,4320
4,13,8.2,4660
4,14,7.7,4389
4,15,7.7,4352
4,16,7.8,4208
4,17,7.9,4238
4,18,8.1,4430
4,19,8.0,4304
4,20,8.2,4302
4,21,8.2,4418
4,22,7.7,4178
4,23,8.1,4254
4,24,8.5,4527
5,1,8.0,4910
5,2,8.0,4425
5,3,7.6,4247
5,4,7.8,4315
5,5,8.0,4275
5,6,7.5,4208
5,7,8.5,5058
5,8,7.6,4166
5,9,8.1,4383
5,10,7.9,4221
5,11,7.3,4204
5,12,7.6,4192
5,13,8.1,4432
5,14,8.2,4415
5,15,7.7,4049
5,16,7.5,4027
5,17,7.7,4132
5,18,8.2,4343
5,19,8.1,4151
5,20,8.0,4280
5,21,8.5,4735
5,22,7.7,4097
5,23,8.1,4063
5,24,8.5,4597
6,1,7.6,5062
6,2,7.6,4208
6,3,7.9,4233
6,4,8.2,4539
6,5,8.0,4198
6,6,7.8,4037
6,7,7.6,4018
6,8,8.4,4596
6,9,8.2,4488
6,10,8.0,4264
6,11,7.8,4098
6,12,8.4,4557
6,13,8.4,4573
6,14,7.7,4024
6,15,8.2,4176
6,16,7.8,4057
6,17,7.6,3906
6,18,7.7,3985
6,19,8.1,4239
6,20,8.0,4069
6,21,8.0,4041
6,22,7.9,4193
6,23,8.1,4196
6,24,7.7,3988
7,1,7.7,4423
7,2,7.9,4366
7,3,8.7,5344
7,4,7.8,4069
7,5,7.6,3887
7,6,8.4,4633
7,7,7.7,3958
7,8,7.5,3937
7,9,8.8,5487
7,10,7.6,3699
7,11,8.1,4148
7,12,7.4,3758
7,13,7.5,3753
7,14,8.0,4107
7,15,8.2,4244
7,16,7.6,3656
7,17,7.4,3602
7,18,7.4,3692
7,19,8.1,3959
7,20,8.0,3732
7,21,7.5,3569
7,22,7.7,3754
7,23,7.8,3717
7,24,8.0,3824
8,1,7.2,4317
8,2,7.5,4043
8,3,7.0,3978
8,4,7.2,3756
8,5,7.5,3870
8,6,7.2,3714
8,7,7.7,4072
8,8,8.0,4089
8,9,7.5,3644
8,10,7.0,3714
8,11,7.4,3611
8,12,7.2,3503
8,13,7.4,3498
8,14,8.0,3801
8,15,8.1,3891
8,16,7.8,3662
8,17,7.5,3452
8,18,7.3,3437
8,19,7.5,3456
8,20,7.5,3429
8,21,7.0,3347
8,22,7.3,3408
8,23,7.5,3496
8,24,7.9,3920
9,1,6.8,4309
9,2,7.3,3699
9,3,7.7,3779
9,4,7.4,3567
9,5,7.4,3485
9,6,7.2,3557
9,7,7.9,3669
9,8,7.9,3682
9,9,7.7,3685
9,10,8.3,4144
9,11,9.0,6017
9,12,7.4,3318
9,13,7.4,3342
9,14,7.5,3395
9,15,7.5,3336
9,16,7.4,3468
9,17,7.6,3494
9,18,7.5,3270
9,19,7.4,3193
9,20,7.4,3168
9,21,7.4,3164
9,22,7.4,3103
9,23,7.4,3114
9,24,7.8,3516
10,1,7.8,4081
10,2,7.3,3328
10,3,7.2,3212
10,4,7.9,3493
10,5,7.4,3166
10,6,7.4,3231
10,7,7.9,3424
10,8,8.0,3538
10,9,7.4,3122
10,10,7.3,3129
10,11,7.6,3189
10,12,7.3,3211
10,13,6.9,3085
10,14,7.2,3025
10,15,7.3,2986
10,16,7.1,2894
10,17,7.4,2948
10,18,7.1,2898
10,19,7.1,2951
10,20,7.2,2916
10,21,7.2,2953
10,22,6.8,2906
10,23,7.1,2856
10,24,8.6,4000
