season,avg_imdb_rating,min_imdb_rating,max_imdb_rating,avg_vote_count,total_votes,avg_search_interest,peak_search_interest,avg_sci_density,avg_complexity
1,8.07,7.6,8.5,5888.0,100091,8.0,13,0.67,0.964
2,8.16,7.6,9.1,5176.0,119057,21.8,29,0.47,0.968
3,8.19,7.4,9.0,4823.0,110939,50.7,61,0.456,0.965
4,8.03,7.5,8.7,4481.0,107549,68.3,74,0.339,0.968
5,7.92,7.3,8.5,4330.0,103925,85.9,100,0.274,0.962
6,7.95,7.6,8.4,4239.0,101745,82.6,96,0.388,0.962
7,7.85,7.4,8.8,4055.0,97318,70.9,79,0.348,0.965
8,7.47,7.0,8.1,3713.0,89108,55.3,66,0.388,0.966
9,7.57,6.8,9.0,3603.0,86474,44.2,57,0.206,0.967
10,7.4,6.8,8.6,3189.0,76542,32.6,37,0.294,0.971
