season,episode,total_dialogue_lines,total_words,total_sci_terms,avg_type_token_ratio,sci_density_per_100_words
1,1,316,2868,18,0.976,0.627
1,2,213,2484,14,0.958,0.563
1,3,240,2699,30,0.962,1.111
1,4,211,2493,13,0.966,0.521
1,5,214,2318,12,0.96,0.517
1,6,240,2306,15,0.968,0.65
1,7,255,2561,6,0.97,0.234
1,8,465,4695,14,0.968,0.298
1,9,214,2331,27,0.961,1.158
1,10,219,2561,17,0.955,0.664
1,11,222,1939,7,0.967,0.361
1,12,217,2551,39,0.967,1.528
1,13,251,2541,38,0.964,1.495
1,14,217,2459,2,0.97,0.081
1,15,226,2397,18,0.966,0.751
1,16,225,2625,6,0.961,0.228
1,17,199,2472,15,0.955,0.607
2,1,224,2532,13,0.969,0.513
2,2,236,2524,32,0.967,1.267
2,3,218,2437,7,0.958,0.287
2,4,242,2532,14,0.969,0.553
2,5,203,2152,19,0.966,0.882
2,6,219,2032,17,0.979,0.836
2,7,253,2258,5,0.968,0.221
2,9,203,2304,6,0.969,0.26
2,11,438,4703,21,0.97,0.446
2,12,193,2325,23,0.958,0.989
2,13,198,2354,15,0.972,0.637
2,14,245,2633,0,0.967,0.0
2,15,217,2312,12,0.967,0.519
2,16,235,2222,9,0.972,0.405
2,17,205,2730,9,0.96,0.33
2,18,214,2329,8,0.966,0.343
2,19,218,2312,3,0.972,0.13
2,20,219,2434,5,0.967,0.205
2,21,226,2284,2,0.974,0.088
2,22,213,2347,11,0.967,0.468
2,23,228,2413,12,0.966,0.497
3,1,204,2587,21,0.96,0.811
3,2,212,2431,8,0.971,0.329
3,3,226,2164,2,0.971,0.092
3,4,231,2451,18,0.973,0.734
3,5,230,2597,2,0.962,0.077
3,6,216,2522,1,0.954,0.04
3,7,232,2984,15,0.959,0.503
3,8,204,2155,4,0.968,0.186
3,9,188,2222,12,0.972,0.54
3,10,237,2443,42,0.971,1.718
3,11,216,2391,5,0.965,0.209
3,12,196,2258,2,0.972,0.089
3,13,160,1884,13,0.955,0.69
3,14,200,1947,23,0.973,1.181
3,15,194,2433,15,0.964,0.616
3,16,210,2682,2,0.954,0.075
3,17,197,2340,1,0.964,0.043
3,18,159,2478,15,0.957,0.605
3,19,236,2421,2,0.965,0.083
3,20,243,2350,6,0.97,0.255
3,21,256,2662,11,0.962,0.413
3,22,238,2241,8,0.966,0.357
3,23,246,2493,21,0.972,0.842
4,1,235,2395,15,0.972,0.626
4,2,231,2219,13,0.964,0.586
4,3,270,2742,20,0.966,0.729
4,4,251,2263,7,0.981,0.309
4,5,212,2305,2,0.961,0.087
4,6,251,2715,5,0.966,0.184
4,7,214,2582,10,0.971,0.387
4,8,208,2477,3,0.963,0.121
4,9,237,2731,11,0.967,0.403
4,10,211,2409,8,0.962,0.332
4,11,226,2060,2,0.971,0.097
4,12,231,2785,14,0.966,0.503
4,13,226,2358,9,0.97,0.382
4,14,200,2401,13,0.957,0.541
4,15,208,2433,23,0.969,0.945
4,16,228,2372,3,0.97,0.126
4,17,229,2718,4,0.969,0.147
4,18,232,2334,7,0.969,0.3
4,19,244,2541,1,0.974,0.039
4,20,238,2458,9,0.969,0.366
4,21,200,2086,3,0.963,0.144
4,22,232,2393,3,0.977,0.125
4,23,230,2342,4,0.973,0.171
4,24,211,2254,11,0.966,0.488
5,1,185,2317,4,0.964,0.173
5,2,201,1974,1,0.955,0.051
5,3,182,2119,1,0.969,0.047
5,4,186,2382,6,0.955,0.252
5,5,234,2711,15,0.964,0.553
5,6,184,2796,8,0.959,0.286
5,7,197,2079,3,0.972,0.144
5,8,197,2431,8,0.966,0.329
5,9,195,2468,3,0.953,0.122
5,10,184,2286,7,0.961,0.306
5,11,233,2618,8,0.967,0.305
5,12,182,2500,7,0.963,0.28
5,13,245,2431,2,0.975,0.082
5,14,169,2076,5,0.97,0.241
5,15,185,2579,9,0.959,0.349
5,16,201,2808,12,0.953,0.427
5,17,218,2423,8,0.962,0.33
5,18,168,2364,5,0.955,0.211
5,19,189,2701,4,0.946,0.148
5,20,222,2585,3,0.964,0.116
5,21,186,2123,20,0.967,0.942
5,22,185,2638,7,0.959,0.265
5,23,184,2327,11,0.963,0.473
5,24,188,2191,3,0.961,0.137
6,1,215,2293,6,0.97,0.262
6,2,223,2269,6,0.963,0.264
6,3,195,2327,36,0.961,1.546
6,4,210,2031,12,0.956,0.591
6,5,215,2452,19,0.972,0.775
6,6,193,2632,9,0.947,0.342
6,7,184,2628,1,0.956,0.038
6,8,223,2236,12,0.968,0.536
6,9,200,2343,11,0.969,0.469
6,10,168,2111,0,0.965,0.0
6,11,209,2807,2,0.955,0.071
6,12,198,2714,11,0.96,0.405
6,13,214,2404,5,0.964,0.208
6,14,199,2341,14,0.965,0.598
6,15,220,2584,2,0.965,0.077
6,16,207,2477,6,0.964,0.242
6,17,154,2101,3,0.955,0.143
6,18,127,2233,5,0.948,0.224
6,19,222,2417,1,0.972,0.041
6,20,201,2310,10,0.97,0.433
6,21,170,2311,5,0.962,0.216
6,22,201,2253,35,0.961,1.553
6,23,191,2292,0,0.958,0.0
6,24,209,2771,8,0.965,0.289
7,1,215,2445,4,0.957,0.164
7,2,243,2679,4,0.967,0.149
7,3,241,2509,9,0.955,0.359
7,4,194,2617,0,0.963,0.0
7,5,409,4978,26,0.967,0.522
7,6,203,2705,27,0.955,0.998
7,7,219,2493,15,0.959,0.601
7,8,190,2531,4,0.959,0.158
7,9,231,2421,2,0.977,0.083
7,10,212,2759,21,0.96,0.761
7,11,240,2285,4,0.966,0.175
7,12,228,2285,7,0.972,0.306
7,13,261,2549,0,0.971,0.0
7,14,204,2503,0,0.963,0.0
7,15,219,2485,3,0.967,0.121
7,16,243,2743,7,0.969,0.255
7,17,211,2589,4,0.965,0.154
7,18,237,2707,8,0.97,0.295
7,19,220,2431,5,0.97,0.206
7,20,219,2406,36,0.967,1.496
7,21,191,2358,14,0.967,0.593
7,22,211,2294,10,0.966,0.436
7,23,228,2384,3,0.965,0.126
7,24,248,2577,10,0.972,0.388
8,1,200,2703,5,0.954,0.185
8,2,212,2530,31,0.968,1.225
8,3,205,2260,5,0.966,0.221
