season,episode,episode_imdb_id,imdb_rating,vote_count
1,1,tt0775431,8.1,8324
1,2,tt1091289,8.2,6726
1,3,tt1091290,7.6,6055
1,4,tt1091291,8.0,6103
1,5,tt1091292,7.8,5803
1,6,tt1091293,8.3,6024
1,7,tt1136041,8.0,5708
1,8,tt1127389,8.1,5721
1,9,tt1127390,7.9,5529
1,10,tt1127384,8.0,5660
1,11,tt1127385,8.2,5629
1,12,tt1127386,7.8,5353
1,13,tt1127387,8.2,5516
1,14,tt1127905,8.0,5406
1,15,tt1127906,8.2,5653
1,16,tt1127907,8.3,5317
1,17,tt1127908,8.5,5564
2,1,tt1256599,8.2,5412
2,2,tt1256030,8.0,5023
2,3,tt1256034,8.7,5851
2,4,tt1256035,7.8,5071
2,5,tt1256036,8.3,5198
2,6,tt1256037,8.1,5208
2,7,tt1256038,8.6,5508
2,8,tt1256039,8.0,4978
2,9,tt1256040,8.0,4926
2,10,tt1256020,7.6,4826
2,11,tt1256021,9.1,8009
2,12,tt1256022,7.8,4867
2,13,tt1256023,7.9,4833
2,14,tt1256024,7.9,4796
2,15,tt1256025,8.8,5752
2,16,tt1256026,8.1,4807
2,17,tt1256027,8.0,5164
2,18,tt1256028,8.1,4833
2,19,tt1256029,8.1,4876
2,20,tt1256031,7.8,4675
2,21,tt1256032,8.4,5034
2,22,tt1256033,8.1,4633
2,23,tt1426233,8.2,4777
3,1,tt1487706,8.2,5079
3,2,tt1495238,7.7,4663
3,3,tt1494210,8.1,4785
3,4,tt1523181,8.0,4677
3,5,tt1528188,8.3,4792
3,6,tt1523180,7.4,4515
3,7,tt1535334,7.7,4541
3,8,tt1536922,8.9,6370
3,9,tt1544819,8.3,4744
3,10,tt1558529,8.4,4812
3,11,tt1558530,8.3,4722
3,12,tt1567073,8.2,4632
3,13,tt1570312,8.0,4534
3,14,tt1588684,8.4,4915
3,15,tt1589887,8.0,4454
3,16,tt1592080,8.2,4569
3,17,tt1607974,8.4,4815
3,18,tt1609715,8.3,4733
3,19,tt1609410,7.8,4438
3,20,tt1628617,8.1,4445
3,21,tt1648755,8.1,4741
3,22,tt1648756,9.0,6120
3,23,tt1627740,8.6,4843
4,1,tt1632224,8.7,5347
4,2,tt1632235,8.3,4806
4,3,tt1632240,7.9,4564
4,4,tt1632241,8.0,4527
4,5,tt1632242,7.6,4367
4,6,tt1632243,8.0,4445
4,7,tt1632244,8.0,4462
4,8,tt1632245,8.1,4476
